ANIMAL;TREATMENT;WEIGHT (g);HVT min;PIP beginning;PIP end;_P;Vt (ml/kg);pO2;pCO2;TK;Art
R177;tBHQ;23,8;243;30,0;35,6;5,6;40,8;84;25;7;16
R178;tBHQ;23,6;243;30,0;30,5;0,5;40,5;157;24;8;16
R179;tBHQ;24,8;215;30,0;39,5;9,5;40,3;47;36;8;17
R193;tBHQ;25,8;242;29,5;33,0;3,5;42,0;91;19;7;15
R197;tBHQ;25,4;243;30,0;29,5;-0,5;40,1;147;18;8;22
R198;tBHQ;25,3;218;30,0;37,9;7,9;40,2;63;32;7;15
R201;tBHQ;25,2;243;30,0;30,9;0,9;41,8;133;18;10;19
R203;tBHQ;24,6;202;30,3;39,4;9,1;40,5;62;26;8;15
R205;tBHQ;24,9;243;30,0;35,2;5,2;41,0;74;17;7;14
R207;tBHQ;25,7;171;30,2;39,2;9,0;41,4;45;38;9;20
R258;tBHQ;24,4;164;30,0;39,0;9,0;41,2;68;35;8;18
R259;tBHQ;23,7;180;30,0;40,4;10,4;41,6;49;42;7;14
R263;tBHQ;24,7;185;30,0;39,8;9,8;40,1;45;39;8;15
R180;3% Ethanol;22,8;194;30,0;38,7;8,7;42,5;41;32;8;20
R186;3% Ethanol;23,0;185;30,0;38,9;8,9;40,0;48;44;9;18
R191;3% Ethanol;26,2;163;30,0;39,7;9,7;42,0;44;44;8;15
R192;3% Ethanol;25,0;162;29,5;38,8;9,3;42,0;48;49;8;17
R194;3% Ethanol;24,6;242;30,0;36,9;6,9;42,0;62;24;9;16
R196;3% Ethanol;25,5;199;29,5;39,2;9,7;42,0;46;38;8;16
R199;3% Ethanol;25,5;242;30,2;32,2;2,0;40,7;123;16;10;22
R200;3% Ethanol;25,0;215;30,3;39,0;8,7;40,0;55;39;11;19
R202;3% Ethanol;24,7;242;30,0;34,0;4,0;41,7;106;24;10;18
R206;3% Ethanol;24,9;236;30,5;39,6;9,1;40,0;39;33;6;14
R211;3% Ethanol;25,7;156;30,2;38,3;8,1;40,3;44;36;7;15
R212;3% Ethanol;24,3;242;29,8;31,9;2,1;42,0;146;17;7;14
R213;3% Ethanol;25,6;242;30,2;30,5;0,3;41,1;141;15;9;17
R257;3% Ethanol;24,7;152;30,1;39,7;9,6;40,5;49;36;7;20
R260;3% Ethanol;24,0;159;30,5;40,8;10,3;40,0;48;44;8;17
R262;3% Ethanol;23,9;152;30,1;39,5;9,4;40,8;49;46;8;18
